epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,331.906,1.76732,2.81382,1.80898,0.46222,0.37266,0.3438,0.17284,1.74897,2.74333,1.82557,0.000332848,0.000332848,0.067048
2,577.832,1.71885,2.41234,1.77177,0.503,0.40231,0.40332,0.20806,1.8028,2.27768,1.78697,0.000665524,0.000665524,0.0340474
3,816.204,1.68041,2.30542,1.74831,0.53899,0.48099,0.49699,0.26309,1.66418,1.94762,1.75575,0.000995574,0.000995574,0.00104409
4,1046.95,1.61418,2.13125,1.69257,0.61436,0.52479,0.58037,0.28314,1.7975,1.93677,1.80796,0.000991145,0.000991145,0.000991145
5,1275.04,1.55243,1.96135,1.64524,0.71321,0.55783,0.63459,0.32501,1.71622,1.70832,1.67651,0.000984293,0.000984293,0.000984293
6,1505.9,1.49679,1.84249,1.58977,0.71841,0.61286,0.68147,0.41927,1.39244,1.40723,1.46633,0.000975531,0.000975531,0.000975531
7,1743.85,1.46192,1.76153,1.55951,0.72101,0.63442,0.70861,0.45745,1.2751,1.36367,1.40155,0.000964892,0.000964892,0.000964892
8,1971.89,1.43697,1.68671,1.53904,0.77898,0.67925,0.75307,0.50978,1.17601,1.20328,1.34417,0.000952418,0.000952418,0.000952418
9,2201.18,1.3982,1.60834,1.51201,0.7424,0.67065,0.74173,0.51486,1.10785,1.15696,1.30592,0.00093816,0.00093816,0.00093816
10,2432.16,1.37563,1.56183,1.49518,0.79092,0.69391,0.76791,0.52063,1.16797,1.11391,1.30834,0.000922172,0.000922172,0.000922172
11,2668.7,1.36372,1.50537,1.48118,0.83393,0.69078,0.79311,0.56665,1.05086,1.02747,1.25218,0.000904518,0.000904518,0.000904518
12,2906.15,1.34976,1.46904,1.46674,0.81391,0.70982,0.79771,0.58086,1.01948,0.98819,1.24237,0.000885268,0.000885268,0.000885268
13,3138.51,1.32857,1.43379,1.45136,0.8399,0.72582,0.82139,0.58271,1.04838,0.95037,1.23955,0.000864498,0.000864498,0.000864498
14,3369.98,1.32214,1.40978,1.4451,0.81614,0.75666,0.82448,0.59423,1.01276,0.94599,1.21676,0.000842289,0.000842289,0.000842289
15,3603.48,1.30389,1.37673,1.4317,0.84008,0.74536,0.83551,0.62044,0.95454,0.89349,1.19453,0.00081873,0.00081873,0.00081873
16,3836.28,1.2888,1.3355,1.41535,0.85805,0.77126,0.85075,0.63055,0.9465,0.85367,1.17546,0.000793913,0.000793913,0.000793913
17,4065.61,1.27787,1.30783,1.4028,0.86679,0.76442,0.85305,0.61477,1.02916,0.85658,1.20118,0.000767937,0.000767937,0.000767937
18,4297.57,1.26244,1.27907,1.3938,0.87404,0.76863,0.85598,0.64161,0.93576,0.82053,1.15834,0.000740903,0.000740903,0.000740903
19,4529.54,1.25417,1.25406,1.38512,0.87748,0.77488,0.8626,0.64814,0.92565,0.81896,1.15957,0.000712918,0.000712918,0.000712918
20,4767.12,1.23247,1.21687,1.36895,0.88608,0.80254,0.87941,0.66357,0.90479,0.74464,1.14326,0.000684094,0.000684094,0.000684094
21,5013.35,1.21681,1.19163,1.35736,0.89983,0.77447,0.86872,0.6571,0.89909,0.74625,1.13207,0.000654543,0.000654543,0.000654543
22,5240.29,1.21585,1.18249,1.35614,0.8654,0.81068,0.87969,0.67444,0.87438,0.72566,1.12038,0.000624383,0.000624383,0.000624383
23,5468.8,1.2058,1.1556,1.34963,0.87664,0.80191,0.88354,0.67449,0.87883,0.71362,1.12496,0.000593731,0.000593731,0.000593731
24,5698.26,1.19201,1.14785,1.33977,0.87794,0.80833,0.88529,0.68539,0.84274,0.69649,1.09582,0.00056271,0.00056271,0.00056271
25,5924.64,1.13967,1.10607,1.3152,0.89202,0.8146,0.89073,0.68751,0.86857,0.68934,1.12167,0.000531442,0.000531442,0.000531442
26,6152.49,1.08537,1.06857,1.28317,0.9037,0.8242,0.8983,0.69416,0.8475,0.6552,1.10527,0.00050005,0.00050005,0.00050005
27,6384.53,1.05192,1.03939,1.26931,0.91722,0.81719,0.90535,0.70748,0.81625,0.62981,1.08888,0.000468658,0.000468658,0.000468658
28,6623.38,1.02617,1.0111,1.24931,0.90109,0.83507,0.90235,0.714,0.80057,0.63306,1.07613,0.00043739,0.00043739,0.00043739
